Conversation_ID,Turn_No,Utterance_ID,Speaker,Utterance,Intent,Slots
249,1,249_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
249,2,249_2,USER,12381 where it is,trainStatus,TrainNo000
249,3,249_3,BOT,Aap kis tareekh ko travel karenge,,
249,4,249_4,USER,19-03-2020,inform,Date
249,5,249_5,BOT,Train is at HOWRAH JUNCTION.,,
249,6,249_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
250,0,250_0,USER,Hi Sevak,greet,00
250,1,250_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
250,2,250_2,USER,abhi 12002 ka running status check karo on 17-03-2020,trainStatus,0TrainNo000000Date
250,3,250_3,BOT,Train is at NEW DELHI.,,
250,4,250_4,BOT,Sevak se sampark karne k liye dhanyawad,,
251,0,251_0,USER,hi pal!,greet,00
251,1,251_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
251,2,251_2,USER,12627 status batao,trainStatus,TrainNo00
251,3,251_3,BOT,Aap kis tareekh ko travel karenge,,
251,4,251_4,USER,17-03-2020,inform,Date
251,5,251_5,BOT,Train is at BANGALORE CY JUNCTION.,,
251,6,251_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
252,0,252_0,USER,namaskar ji,greet,00
252,1,252_1,BOT,Hello. Apni query bataye,,
252,2,252_2,USER,train ka status check karo,trainStatus,00000
252,3,252_3,BOT,Please enter valid train number,,
252,4,252_4,USER,12508,inform,0000TrainNo
252,5,252_5,BOT,Aap kis tareekh ko travel karenge,,
252,6,252_6,USER,18-03-2020,inform,Date
252,7,252_7,BOT,Train is at GUWAHATI.,,
252,8,252_8,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
253,0,253_0,USER,Hello,greet,0
253,1,253_1,BOT,Hello. Apni query bataye,,
253,2,253_2,USER,kaha tak pahuch gaye train 15960,trainStatus,00000TrainNo
253,3,253_3,BOT,Aap kis tareekh ko travel karenge,,
253,4,253_4,USER,17-03-2020,inform,Date
253,5,253_5,BOT,Train is at DIBRUGARH.,,
253,6,253_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
254,0,254_0,USER,Hi Sevak,greet,00
254,1,254_1,BOT,Hello. Apni query bataye,,
254,2,254_2,USER,12303 current position batao,trainStatus,TrainNo000
254,3,254_3,BOT,Aap kis tareekh ko travel karenge,,
254,4,254_4,USER,17-03-2020,inform,Date
254,5,254_5,BOT,Train is at HOWRAH JUNCTION.,,
254,6,254_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
255,0,255_0,USER,Hello,greet,0
255,1,255_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
255,2,255_2,USER,status of 19115 17-03-2020,trainStatus,00TrainNoDate
255,3,255_3,BOT,Train is at BANDRA TERMINUS.,,
255,4,255_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
256,0,256_0,USER,hi pal!,greet,00
256,1,256_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
256,2,256_2,USER,12612 kaha par hai on 17-03-2020,trainStatus,TrainNo0000Date
256,3,256_3,BOT,Train is at H NIZAMUDDIN.,,
256,4,256_4,BOT,Sevak se sampark karne k liye dhanyawad,,
257,0,257_0,USER,Hello,greet,0
257,1,257_1,BOT,Hello. Apni query bataye,,
257,2,257_2,USER,12735 abhi kaha par hai on 19-03-2020,trainStatus,TrainNo00000Date
257,3,257_3,BOT,Train is at SECUNDERABAD JUNCTION.,,
257,4,257_4,BOT,Sevak se sampark karne k liye dhanyawad,,
258,0,258_0,USER,namaste sevak,greet,00
258,1,258_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
258,2,258_2,USER,Train no 12611 ka current status check karo on 19-03-2020,trainStatus,00TrainNo000000Date
258,3,258_3,BOT,Train is at CHENNAI CENTRAL.,,
258,4,258_4,BOT,Sevak se sampark karne k liye dhanyawad,,
259,0,259_0,USER,namaste,greet,0
259,1,259_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
259,2,259_2,USER,12304 ka status on 17-03-2020,trainStatus,TrainNo000Date
259,3,259_3,BOT,Train is at NEW DELHI.,,
259,4,259_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
260,0,260_0,USER,Hello,greet,0
260,1,260_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
260,2,260_2,USER,kaha tak pahuch gaye train 12861,trainStatus,00000TrainNo
260,3,260_3,BOT,Aap kis tareekh ko travel karenge,,
260,4,260_4,USER,19-03-2020,inform,Date
260,5,260_5,BOT,Train is at VISHAKAPATNAM.,,
260,6,260_6,BOT,Sevak se sampark karne k liye dhanyawad,,
261,0,261_0,USER,Hi Sevak,greet,00
261,1,261_1,BOT,Hello. Apni query bataye,,
261,2,261_2,USER,Train no 12507 k current status kya hai on 17-03-2020,trainStatus,00TrainNo000000Date
261,3,261_3,BOT,Train is at TRIVANDRUM CNTL.,,
261,4,261_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
262,0,262_0,USER,Hi Sevak,greet,00
262,1,262_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
262,2,262_2,USER,kaha tak pahuch gaye train 12607 for 18-03-2020,trainStatus,00000TrainNo0Date
262,3,262_3,BOT,Train is at CHENNAI CENTRAL.,,
262,4,262_4,BOT,Sevak se sampark karne k liye dhanyawad,,
263,0,263_0,USER,good evening,greet,00
263,1,263_1,BOT,Hello. Apni query bataye,,
263,2,263_2,USER,currently 12630 kaha tak pahuch gaye train,trainStatus,0TrainNo00000
263,3,263_3,BOT,Aap kis tareekh ko travel karenge,,
263,4,263_4,USER,17-03-2020,inform,Date
263,5,263_5,BOT,Train is at H NIZAMUDDIN.,,
263,6,263_6,BOT,Sevak se sampark karne k liye dhanyawad,,
264,0,264_0,USER,hi pal!,greet,00
264,1,264_1,BOT,Hello. Apni query bataye,,
264,2,264_2,USER,currently kaha tak pahuch gaye train 15960,trainStatus,000000TrainNo
264,3,264_3,BOT,Aap kis tareekh ko travel karenge,,
264,4,264_4,USER,19-03-2020,inform,Date
264,5,264_5,BOT,Train is at DIBRUGARH.,,
264,6,264_6,BOT,Sevak se sampark karne k liye dhanyawad,,
265,0,265_0,USER,Hi Sevak,greet,00
265,1,265_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
265,2,265_2,USER,Train no 12309 ka current status kya hai on 18-03-2020,trainStatus,00TrainNo000000Date
265,3,265_3,BOT,Train is at RJNDR NGR BIHAR.,,
265,4,265_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
266,0,266_0,USER,Hey,greet,0
266,1,266_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
266,2,266_2,USER,Train no 15228 ka running status check karo for 19-03-2020,trainStatus,00TrainNo000000Date
266,3,266_3,BOT,Train is at MUZAFFARPUR JUNCTION.,,
266,4,266_4,BOT,Sevak se sampark karne k liye dhanyawad,,
267,0,267_0,USER,namaskar ji,greet,00
267,1,267_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
267,2,267_2,USER,abhi train no 12155 ka status kya hai,trainStatus,000TrainNo0000
267,3,267_3,BOT,Aap kis tareekh ko travel karenge,,
267,4,267_4,USER,17-03-2020,inform,Date
267,5,267_5,BOT,Train is at HABIBGANJ.,,
267,6,267_6,BOT,Sevak se sampark karne k liye dhanyawad,,
268,0,268_0,USER,namaste,greet,0
268,1,268_1,BOT,Hello. Apni query bataye,,
268,2,268_2,USER,Train no 22692 ka running status batao for 19-03-2020,trainStatus,00TrainNo00000Date
268,3,268_3,BOT,Train is at H NIZAMUDDIN.,,
268,4,268_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
269,0,269_0,USER,pranaam,greet,0
269,1,269_1,BOT,Hello. Apni query bataye,,
269,2,269_2,USER,kaha par hai train 12506 for 17-03-2020,trainStatus,0000TrainNo0Date
269,3,269_3,BOT,Train is at ANAND VIHAR TRM.,,
269,4,269_4,BOT,Sevak se sampark karne k liye dhanyawad,,
270,0,270_0,USER,namaste,greet,0
270,1,270_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
270,2,270_2,USER,train ka live status check karo,trainStatus,000000
270,3,270_3,BOT,Please provide as your train number,,
270,4,270_4,USER,Yeah its 12916,inform,00000TrainNo
270,5,270_5,BOT,Aap kis tareekh ko travel karenge,,
270,6,270_6,USER,19-03-2020,inform,Date
270,7,270_7,BOT,Train is at DELHI.,,
270,8,270_8,BOT,Sevak se sampark karne k liye dhanyawad,,
271,0,271_0,USER,namaskar ji,greet,00
271,1,271_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
271,2,271_2,USER,12522 ka status check karo,trainStatus,TrainNo0000
271,3,271_3,BOT,Aap kis tareekh ko travel karenge,,
271,4,271_4,USER,17-03-2020,inform,Date
271,5,271_5,BOT,Train is at ERANAKULAM JUNCTION.,,
271,6,271_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
272,0,272_0,USER,namaste sevak,greet,00
272,1,272_1,BOT,Hello. Apni query bataye,,
272,2,272_2,USER,check krna train 12622 right time se delay par hai kya,trainStatus,000TrainNo0000000
272,3,272_3,BOT,Aap kis tareekh ko travel karenge,,
272,4,272_4,USER,18-03-2020,inform,Date
272,5,272_5,BOT,Train is at NEW DELHI.,,
272,6,272_6,BOT,Sevak se sampark karne k liye dhanyawad,,
273,0,273_0,USER,Hey,greet,0
273,1,273_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
273,2,273_2,USER,live status of train,trainStatus,0000
273,3,273_3,BOT,Can I have your train number,,
273,4,273_4,USER,My bad 12656,inform,000TrainNo
273,5,273_5,BOT,Aap kis tareekh ko travel karenge,,
273,6,273_6,USER,19-03-2020,inform,Date
273,7,273_7,BOT,Train is at CHENNAI CENTRAL.,,
273,8,273_8,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
274,0,274_0,USER,Hello,greet,0
274,1,274_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
274,2,274_2,USER,12512 abhi kaha par hai on 18-03-2020,trainStatus,TrainNo00000Date
274,3,274_3,BOT,Train is at TRIVANDRUM CNTL.,,
274,4,274_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
275,0,275_0,USER,good evening,greet,00
275,1,275_1,BOT,Hello. Apni query bataye,,
275,2,275_2,USER,Train no 14004 k running status check karo for 18-03-2020,trainStatus,00TrainNo000000Date
275,3,275_3,BOT,Train is at NEW DELHI.,,
275,4,275_4,BOT,Sevak se sampark karne k liye dhanyawad,,
276,0,276_0,USER,Hey,greet,0
276,1,276_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
276,2,276_2,USER,12510 kaha par hai,trainStatus,TrainNo000
276,3,276_3,BOT,Aap kis tareekh ko travel karenge,,
276,4,276_4,USER,18-03-2020,inform,Date
276,5,276_5,BOT,Train is at GUWAHATI.,,
276,6,276_6,BOT,Sevak se sampark karne k liye dhanyawad,,
277,0,277_0,USER,namaste sevak,greet,00
277,1,277_1,BOT,Hello. Apni query bataye,,
277,2,277_2,USER,12834 current position batao on 17-03-2020,trainStatus,TrainNo0000Date
277,3,277_3,BOT,Train is at HOWRAH JUNCTION.,,
277,4,277_4,BOT,Sevak se sampark karne k liye dhanyawad,,
278,0,278_0,USER,Hey,greet,0
278,1,278_1,BOT,Hello. Apni query bataye,,
278,2,278_2,USER,Mujhe 12296 ki  location 17-03-2020 ke liye dena ,trainStatus,0TrainNo000Date0000
278,3,278_3,BOT,Train is at PATNA JUNCTION.,,
278,4,278_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
279,0,279_0,USER,namaste,greet,0
279,1,279_1,BOT,Hello. Apni query bataye,,
279,2,279_2,USER,12002 running status batao on 17-03-2020,trainStatus,TrainNo0000Date
279,3,279_3,BOT,Train is at NEW DELHI.,,
279,4,279_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
280,0,280_0,USER,namaste sevak,greet,00
280,1,280_1,BOT,Hello. Apni query bataye,,
280,2,280_2,USER,12248 kaha par hai status,trainStatus,TrainNo0000
280,3,280_3,BOT,Aap kis tareekh ko travel karenge,,
280,4,280_4,USER,19-03-2020,inform,Date
280,5,280_5,BOT,Train is at H NIZAMUDDIN.,,
280,6,280_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
281,0,281_0,USER,hi pal!,greet,00
281,1,281_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
281,2,281_2,USER,Train no 17203 ka current status check karo on 19-03-2020,trainStatus,00TrainNo000000Date
281,3,281_3,BOT,Train is at BHAVNAGAR TRMUS.,,
281,4,281_4,BOT,Sevak se sampark karne k liye dhanyawad,,
282,0,282_0,USER,namaskar ji,greet,00
282,1,282_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
282,2,282_2,USER,12621 kaha par hai,trainStatus,TrainNo000
282,3,282_3,BOT,Aap kis tareekh ko travel karenge,,
282,4,282_4,USER,19-03-2020,inform,Date
282,5,282_5,BOT,Train is at CHENNAI CENTRAL.,,
282,6,282_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
283,0,283_0,USER,namaskar ji,greet,00
283,1,283_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
283,2,283_2,USER,22109 running status batao on 17-03-2020,trainStatus,TrainNo0000Date
283,3,283_3,BOT,Train is at LOKMANYATILAK T.,,
283,4,283_4,BOT,Sevak se sampark karne k liye dhanyawad,,
284,0,284_0,USER,namaste sevak,greet,00
284,1,284_1,BOT,Hello. Apni query bataye,,
284,2,284_2,USER,12626 ka live status check karo,trainStatus,TrainNo00000
284,3,284_3,BOT,Aap kis tareekh ko travel karenge,,
284,4,284_4,USER,18-03-2020,inform,Date
284,5,284_5,BOT,Train is at NEW DELHI.,,
284,6,284_6,BOT,Sevak se sampark karne k liye dhanyawad,,
285,0,285_0,USER,hi pal!,greet,00
285,1,285_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
285,2,285_2,USER,can you tell me running status of train,trainStatus,00000000
285,3,285_3,BOT,Please enter your train number,,
285,4,285_4,USER,11465,inform,0000000TrainNo
285,5,285_5,BOT,Aap kis tareekh ko travel karenge,,
285,6,285_6,USER,19-03-2020,inform,Date
285,7,285_7,BOT,Train is at SOMNATH.,,
285,8,285_8,BOT,Sevak se sampark karne k liye dhanyawad,,
286,0,286_0,USER,namaste,greet,0
286,1,286_1,BOT,Hello. Apni query bataye,,
286,2,286_2,USER,abhi train no 12578 ka running status check karo for 17-03-2020,trainStatus,000TrainNo000000Date
286,3,286_3,BOT,Train is at MYSORE JUNCTION.,,
286,4,286_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
287,0,287_0,USER,namaste,greet,0
287,1,287_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
287,2,287_2,USER,current position of 12306 batao,trainStatus,000TrainNo0
287,3,287_3,BOT,Aap kis tareekh ko travel karenge,,
287,4,287_4,USER,19-03-2020,inform,Date
287,5,287_5,BOT,Train is at NEW DELHI.,,
287,6,287_6,BOT,Sevak se sampark karne k liye dhanyawad,,
288,0,288_0,USER,namaste sevak,greet,00
288,1,288_1,BOT,Hello. Apni query bataye,,
288,2,288_2,USER,mujhe running status status janna hai train no 12934 on 18-03-2020,trainStatus,00000000TrainNo0Date
288,3,288_3,BOT,Train is at AHMEDABAD JUNCTION.,,
288,4,288_4,BOT,Sevak se sampark karne k liye dhanyawad,,
289,0,289_0,USER,Hey,greet,0
289,1,289_1,BOT,Hello. Apni query bataye,,
289,2,289_2,USER,12371 ka status check karo,trainStatus,TrainNo0000
289,3,289_3,BOT,Aap kis tareekh ko travel karenge,,
289,4,289_4,USER,17-03-2020,inform,Date
289,5,289_5,BOT,Train is at HOWRAH JUNCTION.,,
289,6,289_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
290,0,290_0,USER,Hi Sevak,greet,00
290,1,290_1,BOT,Hello. Apni query bataye,,
290,2,290_2,USER,12318 kaha par hai,trainStatus,TrainNo000
290,3,290_3,BOT,Aap kis tareekh ko travel karenge,,
290,4,290_4,USER,18-03-2020,inform,Date
290,5,290_5,BOT,Train is at AMRITSAR JUNCTION.,,
290,6,290_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
291,0,291_0,USER,namaskar ji,greet,00
291,1,291_1,BOT,Hello. Apni query bataye,,
291,2,291_2,USER,mujhe live status check karna hai,trainStatus,000000
291,3,291_3,BOT,Please provide as your train number,,
291,4,291_4,USER,"Sure, 22404",inform,00000TrainNo
291,5,291_5,BOT,Aap kis tareekh ko travel karenge,,
291,6,291_6,USER,18-03-2020,inform,Date
291,7,291_7,BOT,Train is at NEW DELHI.,,
291,8,291_8,BOT,Sevak se sampark karne k liye dhanyawad,,
292,0,292_0,USER,Hey,greet,0
292,1,292_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
292,2,292_2,USER,may i know the running status of train,trainStatus,00000000
292,3,292_3,BOT,Please enter your train number,,
292,4,292_4,USER,12648,inform,0000000TrainNo
292,5,292_5,BOT,Aap kis tareekh ko travel karenge,,
292,6,292_6,USER,19-03-2020,inform,Date
292,7,292_7,BOT,Train is at H NIZAMUDDIN.,,
292,8,292_8,BOT,Sevak se sampark karne k liye dhanyawad,,
293,0,293_0,USER,good evening,greet,00
293,1,293_1,BOT,Hello. Apni query bataye,,
293,2,293_2,USER,live train status,trainStatus,000
293,3,293_3,BOT,Please enter valid train number,,
293,4,293_4,USER,My bad 14056,inform,00TrainNo
293,5,293_5,BOT,Aap kis tareekh ko travel karenge,,
293,6,293_6,USER,19-03-2020,inform,Date
293,7,293_7,BOT,Train is at DELHI.,,
293,8,293_8,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
294,0,294_0,USER,Hey,greet,0
294,1,294_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
294,2,294_2,USER,mujhe current status janna hai train no 12433,trainStatus,0000000TrainNo
294,3,294_3,BOT,Aap kis tareekh ko travel karenge,,
294,4,294_4,USER,18-03-2020,inform,Date
294,5,294_5,BOT,Train is at CHENNAI CENTRAL.,,
294,6,294_6,BOT,Sevak se sampark karne k liye dhanyawad,,
295,0,295_0,USER,good evening,greet,00
295,1,295_1,BOT,Hello. Apni query bataye,,
295,2,295_2,USER,show me train status,trainStatus,0000
295,3,295_3,BOT,Can I have your train number,,
295,4,295_4,USER,Yeah its 12260,inform,000TrainNo
295,5,295_5,BOT,Aap kis tareekh ko travel karenge,,
295,6,295_6,USER,19-03-2020,inform,Date
295,7,295_7,BOT,Train is at NEW DELHI.,,
295,8,295_8,BOT,Sevak se sampark karne k liye dhanyawad,,
296,0,296_0,USER,Hey,greet,0
296,1,296_1,BOT,Hello. Apni query bataye,,
296,2,296_2,USER,kaha tak pahuch gaye train 15227 for 19-03-2020,trainStatus,00000TrainNo0Date
296,3,296_3,BOT,Train is at YESVANTPUR JUNCTION.,,
296,4,296_4,BOT,Sevak se sampark karne k liye dhanyawad,,
297,0,297_0,USER,Hi Sevak,greet,00
297,1,297_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
297,2,297_2,USER,current position of 22424 batao,trainStatus,000TrainNo0
297,3,297_3,BOT,Aap kis tareekh ko travel karenge,,
297,4,297_4,USER,19-03-2020,inform,Date
297,5,297_5,BOT,Train is at NEW DELHI.,,
297,6,297_6,BOT,Sevak se sampark karne k liye dhanyawad,,
298,0,298_0,USER,good evening,greet,00
298,1,298_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
298,2,298_2,USER,15636 kaha par hai train  for 17-03-2020,trainStatus,TrainNo000000Date
298,3,298_3,BOT,Train is at GUWAHATI.,,
298,4,298_4,BOT,Sevak se sampark karne k liye dhanyawad,,
299,0,299_0,USER,good evening,greet,00
299,1,299_1,BOT,Hello. Apni query bataye,,
299,2,299_2,USER,show me live status of train,trainStatus,000000
299,3,299_3,BOT,Can I have your train number,,
299,4,299_4,USER,Yeah its 12024,inform,00000TrainNo
299,5,299_5,BOT,Aap kis tareekh ko travel karenge,,
299,6,299_6,USER,18-03-2020,inform,Date
299,7,299_7,BOT,Train is at PATNA JUNCTION.,,
299,8,299_8,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
300,0,300_0,USER,Hello,greet,0
300,1,300_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
300,2,300_2,USER,Train no 22352 ka running status batao,trainStatus,00TrainNo0000
300,3,300_3,BOT,Aap kis tareekh ko travel karenge,,
300,4,300_4,USER,17-03-2020,inform,Date
300,5,300_5,BOT,Train is at YESVANTPUR JUNCTION.,,
300,6,300_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
301,0,301_0,USER,Hey,greet,0
301,1,301_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
301,2,301_2,USER,12903 ka status on 18-03-2020,trainStatus,TrainNo000Date
301,3,301_3,BOT,Train is at MUMBAI CENTRAL.,,
301,4,301_4,BOT,Sevak se sampark karne k liye dhanyawad,,
302,0,302_0,USER,namaste,greet,0
302,1,302_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
302,2,302_2,USER,current position of 12612 batao for 19-03-2020,trainStatus,000TrainNo00Date
302,3,302_3,BOT,Train is at H NIZAMUDDIN.,,
302,4,302_4,BOT,Sevak se sampark karne k liye dhanyawad,,
303,0,303_0,USER,pranaam,greet,0
303,1,303_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
303,2,303_2,USER,train 12907 kahan par hai,trainStatus,0TrainNo000
303,3,303_3,BOT,Aap kis tareekh ko travel karenge,,
303,4,303_4,USER,19-03-2020,inform,Date
303,5,303_5,BOT,Train is at BANDRA TERMINUS.,,
303,6,303_6,BOT,Sevak se sampark karne k liye dhanyawad,,
304,0,304_0,USER,namaskar ji,greet,00
304,1,304_1,BOT,Hello. Apni query bataye,,
304,2,304_2,USER,12975 ka status check karo on 17-03-2020,trainStatus,TrainNo00000Date
304,3,304_3,BOT,Train is at MYSORE JUNCTION.,,
304,4,304_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
305,0,305_0,USER,Hi Sevak,greet,00
305,1,305_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
305,2,305_2,USER,12474 k status batao on 17-03-2020,trainStatus,TrainNo0000Date
305,3,305_3,BOT,Train is at JAMMU TAWI.,,
305,4,305_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
306,0,306_0,USER,Hey,greet,0
306,1,306_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
306,2,306_2,USER,18-03-2020 ka  22915 train ka running status dekhna,trainStatus,Date00TrainNo00000
306,3,306_3,BOT,Train is at BANDRA TERMINUS.,,
306,4,306_4,BOT,Sevak se sampark karne k liye dhanyawad,,
307,0,307_0,USER,Hey,greet,0
307,1,307_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
307,2,307_2,USER,12303 status batao on 18-03-2020,trainStatus,TrainNo000Date
307,3,307_3,BOT,Train is at HOWRAH JUNCTION.,,
307,4,307_4,BOT,Sevak se sampark karne k liye dhanyawad,,
308,0,308_0,USER,namaste,greet,0
308,1,308_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
308,2,308_2,USER,Train no 12023 k running status kya hai for 18-03-2020,trainStatus,00TrainNo000000Date
308,3,308_3,BOT,Train is at HOWRAH JUNCTION.,,
308,4,308_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
309,0,309_0,USER,Hey,greet,0
309,1,309_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
309,2,309_2,USER,mujhe running status status janna hai train no 12969,trainStatus,00000000TrainNo
309,3,309_3,BOT,Aap kis tareekh ko travel karenge,,
309,4,309_4,USER,18-03-2020,inform,Date
309,5,309_5,BOT,Train is at COIMBATORE JUNCTION.,,
309,6,309_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
310,0,310_0,USER,namaste,greet,0
310,1,310_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
310,2,310_2,USER,current position of 13007 batao,trainStatus,000TrainNo0
310,3,310_3,BOT,Aap kis tareekh ko travel karenge,,
310,4,310_4,USER,19-03-2020,inform,Date
310,5,310_5,BOT,Train is at HOWRAH JUNCTION.,,
310,6,310_6,BOT,Sevak se sampark karne k liye dhanyawad,,
311,0,311_0,USER,namaste,greet,0
311,1,311_1,BOT,Hello. Apni query bataye,,
311,2,311_2,USER,abhi train no 19713 ka status kya hai,trainStatus,000TrainNo0000
311,3,311_3,BOT,Aap kis tareekh ko travel karenge,,
311,4,311_4,USER,17-03-2020,inform,Date
311,5,311_5,BOT,Train is at JAIPUR.,,
311,6,311_6,BOT,Sevak se sampark karne k liye dhanyawad,,
312,0,312_0,USER,good evening,greet,00
312,1,312_1,BOT,Hello. Apni query bataye,,
312,2,312_2,USER,abhi train no 12803 ka running status check karo,trainStatus,000TrainNo00000
312,3,312_3,BOT,Aap kis tareekh ko travel karenge,,
312,4,312_4,USER,18-03-2020,inform,Date
312,5,312_5,BOT,Train is at VISHAKAPATNAM.,,
312,6,312_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
313,0,313_0,USER,namaste,greet,0
313,1,313_1,BOT,Hello. Apni query bataye,,
313,2,313_2,USER,15636 status batao,trainStatus,TrainNo00
313,3,313_3,BOT,Aap kis tareekh ko travel karenge,,
313,4,313_4,USER,19-03-2020,inform,Date
313,5,313_5,BOT,Train is at GUWAHATI.,,
313,6,313_6,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
314,0,314_0,USER,namaste,greet,0
314,1,314_1,BOT,Hi. Main Sevak hun. Apni loi bhi train sambandhit query puchiye,,
314,2,314_2,USER,Train no 12525 ka current status batao on 19-03-2020,trainStatus,00TrainNo00000Date
314,3,314_3,BOT,Train is at KOLKATA.,,
314,4,314_4,BOT,Sevak se sampark karne k liye dhanyawad,,
315,0,315_0,USER,hi pal!,greet,00
315,1,315_1,BOT,"Hello. Main Sevak, aapki kaise sahayata kar sakta hun",,
315,2,315_2,USER,abhi 12952 ka running status check karo on 18-03-2020,trainStatus,0TrainNo000000Date
315,3,315_3,BOT,Train is at NEW DELHI.,,
315,4,315_4,BOT,Done. Aapki koi bhi aur train related samasya aap hamse puch sakte hain.,,
316,0,316_0,USER,Hey,greet,0
316,1,316_1,BOT,Hello. Apni query bataye,,
316,2,316_2,USER,kya mai live status check kar sakta ho,trainStatus,00000000
316,3,316_3,BOT,Please enter valid train number,,
316,4,316_4,USER,Yeah its 12508,inform,0000000TrainNo
316,5,316_5,BOT,Aap kis tareekh ko travel karenge,,
316,6,316_6,USER,19-03-2020,inform,Date
